speaker,vowel_1,vowel_2,euclidean_distance_Hz
S1_Female,@,E,216.5
S1_Female,@,E/,284.3
S1_Female,@,O,378.8
S1_Female,@,a,92.0
S1_Female,@,a~,379.0
S1_Female,@,e,514.5
S1_Female,@,i,523.3
S1_Female,@,o,157.9
S1_Female,@,u,425.1
S1_Female,@,y,342.6
S1_Female,E,E/,76.4
S1_Female,E,O,591.5
S1_Female,E,a,228.9
S1_Female,E,a~,595.3
S1_Female,E,e,325.3
S1_Female,E,i,313.4
S1_Female,E,o,374.0
S1_Female,E,u,641.0
S1_Female,E,y,142.2
S1_Female,E/,O,662.4
S1_Female,E/,a,304.7
S1_Female,E/,a~,662.7
S1_Female,E/,e,249.4
S1_Female,E/,i,239.8
S1_Female,E/,o,439.5
S1_Female,E/,u,704.8
S1_Female,E/,y,66.1
S1_Female,O,a,375.4
S1_Female,O,a~,68.4
S1_Female,O,e,890.5
S1_Female,O,i,901.9
S1_Female,O,o,234.6
S1_Female,O,u,138.0
S1_Female,O,y,721.4
S1_Female,a,a~,392.0
S1_Female,a,e,550.4
S1_Female,a,i,541.8
S1_Female,a,o,195.4
S1_Female,a,u,449.6
S1_Female,a,y,369.3
S1_Female,a~,e,880.9
S1_Female,a~,i,900.2
S1_Female,a~,o,223.8
S1_Female,a~,u,74.1
S1_Female,a~,y,718.4
S1_Female,e,i,105.5
S1_Female,e,o,658.4
S1_Female,e,u,912.3
S1_Female,e,y,183.3
S1_Female,i,o,676.5
S1_Female,i,u,939.1
S1_Female,i,y,182.0
S1_Female,o,u,267.2
S1_Female,o,y,494.6
S1_Female,u,y,757.2
S1_Male,@,E,306.4
S1_Male,@,E/,354.8
S1_Male,@,O,396.3
S1_Male,@,a,213.5
S1_Male,@,a~,574.4
S1_Male,@,e,526.8
S1_Male,@,i,465.9
S1_Male,@,o,246.5
S1_Male,@,u,496.4
S1_Male,@,y,293.6
S1_Male,E,E/,87.3
S1_Male,E,O,654.4
S1_Male,E,a,322.3
S1_Male,E,a~,850.1
S1_Male,E,e,252.3
S1_Male,E,i,237.5
S1_Male,E,o,540.4
S1_Male,E,u,797.1
S1_Male,E,y,130.3
S1_Male,E/,O,724.9
S1_Male,E/,a,404.0
S1_Male,E/,a~,916.9
S1_Male,E/,e,175.9
S1_Male,E/,i,150.1
S1_Male,E/,o,598.2
S1_Male,E/,u,851.2
S1_Male,E/,y,92.5
S1_Male,O,a,353.6
S1_Male,O,a~,200.9
S1_Male,O,e,900.8
S1_Male,O,i,853.7
S1_Male,O,o,180.3
S1_Male,O,u,243.5
S1_Male,O,y,681.5
S1_Male,a,a~,554.5
S1_Male,a,e,574.5
S1_Male,a,i,548.7
S1_Male,a,o,300.4
S1_Male,a,u,546.1
S1_Male,a,y,389.6
S1_Male,a~,e,1092.7
S1_Male,a~,i,1039.4
S1_Male,a~,o,331.4
S1_Male,a~,u,182.7
S1_Male,a~,y,866.6
S1_Male,e,i,101.1
S1_Male,e,o,772.1
S1_Male,e,u,1022.8
S1_Male,e,y,238.7
S1_Male,i,o,712.3
S1_Male,i,u,956.4
S1_Male,i,y,172.8
S1_Male,o,u,258.0
S1_Male,o,y,540.1
S1_Male,u,y,786.7
S2_Female,@,E,253.4
S2_Female,@,E/,155.3
S2_Female,@,O,456.3
S2_Female,@,a,182.2
S2_Female,@,a~,455.9
S2_Female,@,e,597.6
S2_Female,@,i,487.5
S2_Female,@,o,229.4
S2_Female,@,u,441.8
S2_Female,@,y,306.3
S2_Female,E,E/,307.4
S2_Female,E,O,675.3
S2_Female,E,a,331.3
S2_Female,E,a~,702.4
S2_Female,E,e,347.9
S2_Female,E,i,299.2
S2_Female,E,o,477.0
S2_Female,E,u,692.7
S2_Female,E,y,172.3
S2_Female,E/,O,556.2
S2_Female,E/,a,335.6
S2_Female,E/,a~,511.8
S2_Female,E/,e,609.4
S2_Female,E/,i,441.3
S2_Female,E/,o,223.0
S2_Female,E/,u,482.4
S2_Female,E/,y,265.9
S2_Female,O,a,351.5
S2_Female,O,a~,164.1
S2_Female,O,e,1018.8
S2_Female,O,i,942.2
S2_Female,O,o,376.1
S2_Female,O,u,212.8
S2_Female,O,y,762.3
S2_Female,a,a~,415.3
S2_Female,a,e,668.9
S2_Female,a,i,617.5
S2_Female,a,o,317.1
S2_Female,a,u,423.4
S2_Female,a,y,449.0
S2_Female,a~,e,1050.2
S2_Female,a~,i,936.3
S2_Female,a~,o,296.9
S2_Female,a~,u,53.7
S2_Female,a~,y,753.6
S2_Female,e,i,243.6
S2_Female,e,o,810.9
S2_Female,e,u,1039.1
S2_Female,e,y,352.0
S2_Female,i,o,662.0
S2_Female,i,u,914.2
S2_Female,i,y,182.7
S2_Female,o,u,262.0
S2_Female,o,y,482.6
S2_Female,u,y,732.1
S2_Male,@,E,144.4
S2_Male,@,E/,303.5
S2_Male,@,O,390.8
S2_Male,@,a,213.3
S2_Male,@,a~,562.0
S2_Male,@,e,224.8
S2_Male,@,i,524.7
S2_Male,@,o,442.9
S2_Male,@,u,557.7
S2_Male,@,y,269.7
S2_Male,E,E/,200.1
S2_Male,E,O,511.4
S2_Male,E,a,308.5
S2_Male,E,a~,700.8
S2_Male,E,e,172.5
S2_Male,E,i,414.4
S2_Male,E,o,581.1
S2_Male,E,u,694.5
S2_Male,E,y,189.6
S2_Male,E/,O,693.6
S2_Male,E/,a,501.5
S2_Male,E/,a~,858.0
S2_Male,E/,e,108.4
S2_Male,E/,i,221.3
S2_Male,E/,o,740.9
S2_Male,E/,u,856.2
S2_Male,E/,y,54.5
S2_Male,O,a,212.4
S2_Male,O,a~,241.1
S2_Male,O,e,612.8
S2_Male,O,i,914.9
S2_Male,O,o,148.9
S2_Male,O,u,221.3
S2_Male,O,y,660.2
S2_Male,a,a~,435.2
S2_Male,a,e,435.7
S2_Male,a,i,720.9
S2_Male,a,o,320.3
S2_Male,a,u,421.4
S2_Male,a,y,475.9
S2_Male,a~,e,761.7
S2_Male,a~,i,1074.8
S2_Male,a~,o,119.8
S2_Male,a~,u,29.1
S2_Male,a~,y,815.3
S2_Male,e,i,313.4
S2_Male,e,o,646.6
S2_Male,e,u,761.8
S2_Male,e,y,56.1
S2_Male,i,o,959.0
S2_Male,i,u,1074.3
S2_Male,i,y,259.6
S2_Male,o,u,115.4
S2_Male,o,y,699.4
S2_Male,u,y,814.7
